C:\Users\MUHAMMAD BAIHAQI\Downloads\Web-Rekomendasi-Penelitian-Dosen-main\Web-Rekomendasi-Penelitian-Dosen-main\venv\lib\site-packages\sklearn\base.py:442: InconsistentVersionWarning: Trying to unpickle estimator MultinomialNB from version 1.3.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
C:\Users\MUHAMMAD BAIHAQI\Downloads\Web-Rekomendasi-Penelitian-Dosen-main\Web-Rekomendasi-Penelitian-Dosen-main\venv\lib\site-packages\sklearn\base.py:442: InconsistentVersionWarning: Trying to unpickle estimator LabelBinarizer from version 1.3.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
C:\Users\MUHAMMAD BAIHAQI\Downloads\Web-Rekomendasi-Penelitian-Dosen-main\Web-Rekomendasi-Penelitian-Dosen-main\venv\lib\site-packages\sklearn\base.py:442: InconsistentVersionWarning: Trying to unpickle estimator OneVsRestClassifier from version 1.3.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [15/Apr/2026 13:14:31] "GET /search?keyword=test&approach=hybrid HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:15:00] "GET /search?keyword=kesehatan&approach=hybrid HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:15:00] "GET /static/css/lecturer.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:15:00] "GET /static/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:15:00] "GET /static/assets/img/logonew.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:15:06] "POST /rekomendasi HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:15:06] "GET /static/assets/img/person.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:26:47] "GET /search?keyword=kesehatan&approach=hybrid HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:26:47] "GET /static/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:26:47] "GET /static/css/lecturer.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:26:47] "GET /static/assets/img/logonew.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:26:49] "POST /rekomendasi HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:26:49] "GET /static/assets/img/person.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:27:10] "GET /static/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:10] "GET /static/assets/img/logonew.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:10] "GET /static/css/lecturer.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:10] "GET /static/assets/img/scan.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:10] "GET /static/assets/img/bg.masthead.webp HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:19] "GET /search?keyword=pendidikan HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:27:19] "GET /static/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:19] "GET /static/css/lecturer.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:19] "GET /static/assets/img/logonew.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:27:20] "POST /rekomendasi HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:27:20] "GET /static/assets/img/person.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /profile/TTK HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /static/LDAVis_id/TTK.html HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /static/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /static/css/lecturer.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /static/assets/img/logonew.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /static/assets/img/person.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:28:57] "GET /static/LDAVis_en/TTK.html HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:29:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 13:29:14] "GET /static/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:29:14] "GET /static/css/lecturer.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:29:14] "GET /static/assets/img/logonew.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:29:14] "GET /static/assets/img/scan.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Apr/2026 13:29:14] "GET /static/assets/img/bg.masthead.webp HTTP/1.1" 304 -
